STT,Thành_ngữ_Tiếng_Việt,Thành_ngữ_Tiếng_Anh,Bối_cảnh,Hành_động,Kết_quả,Mục_đích,Giải_thích_nghĩa
1,Ăn_cháo_đá_bát,Bite_the_hand_that_feeds_one,BC_Đối_nhân_xử_thế,HD_Lợi_dụng,KQ_Mất_quan_hệ,,"Phản bội, đối xử tệ bạc với người đã cưu mang, giúp đỡ mình."
2,Đứng_núi_này_trông_núi_nọ,The_grass_is_always_greener_on_the_other_side,BC_Cảm_xúc,HD_So_sánh,,,"Bất mãn với hoàn cảnh hiện tại, luôn nghĩ hoàn cảnh người khác tốt hơn."
3,Một_mũi_tên_trúng_hai_đích,To_kill_two_birds_with_one_stone,BC_Thực_thi_mục_tiêu,HD_Nắm_bắt,KQ_Tối_ưu_hóa,MD_Giải_quyết_vấn_đề,Hoàn thành hai công việc cùng một lúc chỉ bằng một hành động.
4,Cắn_răng_chịu_đựng,Bite_the_bullet,BC_Nguy_hiểm,HD_Đối_mặt,,MD_Bảo_vệ_bản_thân,"Dũng cảm chấp nhận đối mặt với hoàn cảnh đau đớn, khó khăn không thể né tránh."
5,Nếm_mật_nằm_gai,Bide_one's_time_in_hardship,BC_Thực_thi_mục_tiêu,HD_Kiên_nhẫn,KQ_Thành_công,MD_Giải_quyết_vấn_đề,"Tự nguyện chịu đựng gian khổ kéo dài để nuôi chí lớn, chờ thời cơ."
6,Thả_mồi_bắt_bóng,Grasp_all_lose_all,BC_Rủi_ro,HD_Tham_lam,KQ_Tổn_thất_tài_sản,,"Bỏ mất cái thực có trong tay để chạy theo cái hư ảo, cuối cùng mất sạch."
7,Vỏ_quýt_dày_có_móng_tay_nhọn,Diamond_cut_diamond,BC_Xung_đột,,KQ_Bị_khống_chế,,Kẻ ghê gớm đến đâu cũng sẽ có người cao tay hơn trừng trị.
8,Đi_đêm_lắm_có_ngày_gặp_ma,The_pitcher_goes_so_often_to_the_well_that_it_is_broken_at_last,BC_Rủi_ro,HD_Liều_lĩnh,KQ_Gieo_tai_họa,,Làm điều sai trái lén lút nhiều lần thì thế nào cũng có ngày gặp tai họa.
9,Mưa_nào_mát_mặt_bấy_giờ,Live_from_hand_to_mouth,BC_Sinh_hoạt,HD_Trì_hoãn,,,"Sống tạm bợ, ăn xổi ở thì, được lúc nào hay lúc đó chứ không biết lo xa."
10,Cháy_nhà_ra_mặt_chuột,Truth_will_out,BC_Bảo_mật,,KQ_Lộ_tẩy,,"Khi có biến cố xảy ra, bản chất xấu xa hay sự dối giấu giếm sẽ phơi bày."
11,Gần_mực_thì_đen_gần_đèn_thì_rạng,He_who_touches_pitch_shall_be_defiled,BC_Đối_nhân_xử_thế,HD_Bắt_chước,KQ_Hình_thành_nhân_cách,,"Môi trường sống và bạn bè xung quanh ảnh hưởng trực tiếp đến đạo đức, tính cách con người."
12,Nước_đến_chân_mới_nhảy,Lock_the_stable_door_after_the_horse_is_stolen,BC_Hậu_quả,HD_Trì_hoãn,KQ_Thất_bại,,Chờ sự việc quá sát hoặc hậu quả xảy ra rồi mới vội vã đối phó.
13,Của_thiên_trả_địa,Easy_come_easy_go,BC_Thương_mại,,KQ_Tổn_thất_tài_sản,,Của cải có được dễ dàng hay bất chính thì cũng mau chóng mất đi.
14,Một_giọt_máu_đào_hơn_ao_nước_lã,Blood_is_thicker_than_water,BC_Gia_đình,,KQ_Gắn_kết,,Tình cảm ruột thịt thân thiết và quan trọng hơn người ngoài.
15,Lấy_độc_trị_độc,Take_a_hair_of_the_dog_that_bit_you,,HD_Đối_mặt,,MD_Giải_quyết_vấn_đề,Dùng chính yếu tố nguy hại để khống chế hoặc chữa trị tác hại do nó gây ra.
16,Sống_để_bụng_chết_mang_theo,Take_a_secret_to_the_grave,BC_Bảo_mật,HD_Che_giấu,,MD_Che_đậy,"Giữ kín bí mật hoặc mối thù sâu sắc đến suốt đời, không tiết lộ."
17,Suy_bụng_ta_ra_bụng_người,Measure_another's_corn_by_one's_own_bushel,BC_Đánh_giá,HD_Đánh_giá_sai,KQ_Nhầm_lẫn,,"Lấy suy nghĩ chủ quan của bản thân để áp đặt, phán xét người khác."
18,Thùng_rỗng_kêu_to,Empty_vessels_make_the_most_noise,BC_Giao_tiếp,HD_Thổi_phồng,,,"Kẻ ít hiểu biết lại thường hay khoe khoang, nói nhiều."
19,Được_đằng_chân_lân_đằng_đầu,Give_him_an_inch_and_he_will_take_an_ell,BC_Đối_nhân_xử_thế,HD_Tham_lam,KQ_Mất_quan_hệ,,"Được nhượng bộ một chút thì lại càng lấn tới, đòi hỏi nhiều hơn."
20,Múa_rìu_qua_mắt_thợ,Teach_fish_to_swim,BC_Giao_tiếp,HD_Thổi_phồng,,,"Phô trương hiểu biết trước mặt người am hiểu, giỏi giang hơn mình."
21,Tránh_vỏ_dưa_gặp_vỏ_dừa,Out_of_the_frying_pan_into_the_fire,BC_Nguy_hiểm,HD_Né_tránh,KQ_Tổn_thương,,Tránh được nguy cơ này lại gặp phải nguy cơ khác tồi tệ hơn.
22,Có_công_mài_sắt_có_ngày_nên_kim,Practice_makes_perfect,BC_Lao_động,HD_Nỗ_lực,KQ_Thành_công,,"Nhẫn nại, kiên trì rèn luyện thì việc khó đến mấy cũng thành công."
23,Hoàn_toàn_đánh_bại,Beat_somebody_hollow,BC_Xung_đột,HD_Tấn_công,KQ_Thành_công,MD_Hạ_bệ,"Đánh bại đối thủ một cách áp đảo, triệt để."
24,Một_mình_một_ngựa,Play_a_lone_hand,BC_Thực_thi_mục_tiêu,,,MD_Giải_quyết_vấn_đề,"Đơn độc gánh vác, giải quyết công việc mà không cần sự giúp đỡ."
25,Vung_tiền_qua_cửa_sổ,Spend_money_like_water,BC_Thương_mại,HD_Tiêu_xài_hoang_phí,KQ_Tổn_thất_tài_sản,,"Tiêu xài tiền bạc phung phí, không biết tiếc của."
26,Chăn_ấm_gối_êm,Bed_of_roses,BC_Sinh_hoạt,,KQ_Bình_yên,,"Cuộc sống gia đình, hôn nhân êm ấm, hạnh phúc, đầy đủ."
27,Nói_một_đằng_làm_một_nẻo,Talk_one_way_and_act_another,BC_Giao_tiếp,,KQ_Mất_quan_hệ,,"Lời nói và hành động bất nhất, dối trá."
28,Tiền_nào_của_ấy,You_get_what_you_pay_for,BC_Thương_mại,,KQ_Tương_xứng_giá_trị,,Giá tiền bỏ ra tương ứng với chất lượng hàng hóa.
29,Nhập_gia_tùy_tục,When_in_Rome_do_as_the_Romans_do,BC_Môi_trường_mới,HD_Thích_ứng,KQ_Hòa_nhập,,"Đến môi trường mới thì tuân theo quy định, phong tục ở đó."
30,Gieo_gió_gặp_bão,Sow_the_wind_reap_the_whirlwind,BC_Đạo_đức,HD_Tấn_công,KQ_Gieo_tai_họa,,"Làm điều ác, gây hại cho người khác thì sẽ nhận lại hậu quả thảm khốc."
31,Vạn_sự_khởi_đầu_nan,The_first_step_is_always_the_hardest,BC_Thực_thi_mục_tiêu,,KQ_Gặp_trở_ngại,,Bất kỳ công việc nào khi mới bắt đầu cũng gặp nhiều khó khăn.
32,Thời_gian_là_vàng_bạc,Time_is_money,BC_Cuộc_sống,,,MD_Trân_trọng_thời_gian,"Thời gian vô cùng quý giá, cần biết trân trọng và sử dụng hiệu quả."
33,Thà_trễ_còn_hơn_không,Better_late_than_never,,HD_Đối_mặt,KQ_Thành_công,,Muộn còn hơn là không bao giờ làm.
34,Họa_vô_đơn_chí,Misfortunes_never_come_singly,BC_Nguy_hiểm,,KQ_Tổn_thương,,Tai họa không xảy ra riêng lẻ mà thường liên tiếp kéo đến.
35,Cả_tin_mất_tiền,A_fool_and_his_money_are_soon_parted,BC_Thương_mại,HD_Đánh_giá_sai,KQ_Tổn_thất_tài_sản,,"Người khờ dại, nhẹ dãi thì dễ bị lừa gạt mất hết tiền bạc."
36,Đồng_bệnh_tương_lân,Misery_loves_company,BC_Đối_nhân_xử_thế,,KQ_Gắn_kết,,"Những người cùng cảnh ngộ khó khăn thường dễ cảm thông, tìm đến nhau."
