English,Vietnamese,Boi_canh,Hanh_dong,Ket_qua,Muc_dich
Buy_a_pig_in_a_poke,Mua_mèo_trong_bao,BC_Thương_mại,HD_Liều_lĩnh,KQ_Tổn_thất_tài_sản,MD_Tiết_kiệm
Spill_the_beans,Vạch_áo_cho_người_xem_lưng,BC_Bảo_mật,HD_Tiết_lộ,KQ_Lộ_tẩy,MD_Gây_chú_ý
Kick_the_bucket,Về_chầu_ông_vải,BC_Số_phận,HD_Chấp_nhận_số_phận,KQ_Kết_thúc,MD_An_nghỉ
Barking_up_the_wrong_tree,Râu_ông_nọ_cắm_cằm_bà_kia,BC_Đánh_giá,HD_Lắp_ghép_sai,KQ_Nhầm_lẫn_tai_hại,MD_Giải_quyết_vấn_đề
Bite_off_more_than_you_can_chew,Tham_thực_cực_thân,BC_Thực_thi_mục_tiêu,HD_Tham_lam,KQ_Kiệt_sức,MD_Thể_hiện
Let_the_cat_out_of_the_bag,Cái_kim_trong_bọc_có_ngày_lòi_ra,BC_Bảo_mật,HD_Tiết_lộ,KQ_Lộ_tẩy,MD_Che_đậy
Put_all_your_eggs_in_one_basket,Được_ăn_cả_ngã_về_không,BC_Rủi_ro,HD_Liều_lĩnh,KQ_Thất_bại,MD_Trục_lợi
Beat_around_the_bush,Vòng_vo_Tam_Quốc,BC_Giao_tiếp,HD_Né_tránh,KQ_Mất_thời_gian,MD_Bảo_vệ_bản_thân
A_storm_in_a_teacup,Chuyện_bé_xé_ra_to,BC_Giao_tiếp,HD_Thổi_phồng,KQ_Bất_ngờ,MD_Gây_chú_ý
Throw_in_the_towel,Đầu_hàng_vô_điều_kiện,BC_Xung_đột,HD_Bỏ_cuộc,KQ_Thất_bại,MD_Bảo_vệ_bản_thân
Burn_the_midnight_oil,Thức_khuya_dậy_sớm,BC_Thực_thi_mục_tiêu,HD_Nỗ_lực,KQ_Thành_công,MD_Giải_quyết_vấn_đề
Caught_red_handed,Bắt_tận_tay_day_tận_trán,BC_Xung_đột,HD_Tấn_công,KQ_Lộ_tẩy,MD_Hạ_bệ
Cost_an_arm_and_a_leg,Đắt_cắt_cổ,BC_Thương_mại,HD_Tiêu_xài_hoang_phí,KQ_Tổn_thất_tài_sản,MD_Thể_hiện
Cry_over_spilt_milk,Mất_bò_mới_lo_làm_chuồng,BC_Hậu_quả,HD_Trì_hoãn,KQ_Hối_hận,MD_Phòng_ngừa_rủi_ro
